기온(1차),노면온도(1차),기온(2차),노면온도(2차),,,
2.7,-2,4.9,0.8,,,
2.7,-1.9,4.9,0.9,,,
2.7,-1.9,4.9,0.9,,,
2.7,-2,4.9,1.1,,,
2.7,-1.9,4.9,1.1,,,
2.7,-1.8,4.9,1.1,,,
2.7,-1.8,4.9,0.9,,,
2.6,-1.9,4.8,0.9,,,
2.6,-1.9,4.9,1,,,
2.6,-1.9,4.9,1.2,,,
2.6,-1.9,4.9,1.3,,,
2.6,-1.9,4.9,1.2,,,
2.6,-1.8,4.9,1.1,,,
2.6,-1.9,4.8,1.1,,,
2.6,-1.9,4.9,1.2,,,
2.6,-1.9,4.8,1,,,
2.6,-2.1,4.9,1,,,
2.6,-2.1,4.9,1,,,
2.5,-2,4.9,1,,,
2.5,-2,4.9,1,,,
2.5,-1.9,4.9,1.1,,,
2.5,-1.9,4.9,1.1,,,
2.5,-1.9,4.9,1.1,,,
2.5,-2,4.8,1,,,
2.5,-2,4.9,0.9,,,
2.4,-1.9,4.8,1,,,
2.4,-2,4.8,1.1,,,
2.4,-2.1,4.9,0.9,,,
2.4,-2.1,4.9,1,,,
2.4,-2.2,4.9,1,,,
2.4,-2.3,4.9,0.9,,,
2.4,-2.3,4.9,0.8,,,
2.4,-2.2,4.9,0.8,,,
2.4,-2.3,4.9,0.7,,,
2.4,-2.3,4.9,0.8,,,
2.4,-2.3,4.8,0.8,,,
2.4,-1.9,4.8,0.8,,,
2.4,-0.9,4.8,1.4,,,
2.4,-1.9,4.8,1.2,,,
2.4,-2.3,4.8,0.6,,,
2.4,-2.5,4.8,0.6,,,
2.3,-2.5,4.8,0.6,,,
2.3,-2.5,4.8,0.6,,,
2.4,-2.6,4.8,0.5,,,
2.4,-2.5,4.8,0.4,,,
2.4,-2.4,4.8,0.5,,,
2.3,-2.4,4.7,0,,,
2.3,-2.2,4.8,-0.3,,,
2.4,-2.3,4.8,-0.4,,,
2.3,-2.2,4.8,-0.3,,,
2.3,-2.3,4.8,-0.5,,,
2.3,-2.5,4.7,-0.2,,,
2.3,-2.3,4.7,-0.1,,,
2.3,-2.3,4.7,-0.3,,,
2.3,-2.2,4.7,-0.2,,,
2.3,-2.3,4.6,-0.4,,,
2.3,-2.4,4.6,-0.4,,,
2.3,-2.4,4.6,-0.4,,,
2.3,-2.2,4.6,-0.4,,,
2.3,-2.3,4.6,-0.5,,,
2.3,-2.3,4.6,-0.6,,,
2.3,-2.3,4.5,-0.6,,,
2.3,-2.3,4.5,-0.6,,,
2.3,-2.3,4.5,-0.5,,,
2.3,-2.2,4.5,-0.4,,,
2.3,-2.2,4.5,-0.6,,,
2.3,-2.3,4.5,-0.5,,,
2.3,-2.2,4.5,-0.4,,,
2.3,-2.2,4.5,-0.4,,,
2.3,-2.2,4.5,-0.4,,,
2.3,-2.2,4.5,-0.4,,,
2.3,-2.1,4.4,-0.4,,,
2.3,-2.1,4.4,-0.4,,,
2.3,-2,4.4,-0.4,,,
2.3,-2.1,4.4,-0.4,,,
2.3,-2.1,4.4,-0.1,,,
2.2,-1.9,4.4,-0.3,,,
2.3,-1.9,4.4,-0.2,,,
2.3,-1.9,4.4,-0.3,,,
2.3,-1.9,4.4,-0.2,,,
2.2,-1.9,4.4,-0.4,,,
2.2,-2,4.4,-0.2,,,
2.2,-1.9,4.4,-0.3,,,
2.2,-2,4.4,-0.2,,,
2.2,-1.9,4.4,0,,,
2.3,-2,4.4,0,,,
2.2,-1.9,4.4,0,,,
2.2,-1.8,4.4,-0.1,,,
2.2,-1.9,4.4,0.1,,,
2.2,-2,4.4,0.1,,,
2.2,-2,4.4,0.2,,,
2.2,-1.8,4.5,0.2,,,
2.2,-1.8,4.4,0.1,,,
2.2,-1.8,4.4,0.1,,,
2.2,-1.8,4.4,0.1,,,
2.3,-1.8,4.5,0.1,,,
2.2,-1.8,4.5,0.1,,,
2.3,-1.8,4.5,0,,,
2.3,-1.8,4.5,0.1,,,
2.3,-1.8,4.5,0.1,,,
2.3,-1.7,4.5,0,,,
2.3,-1.8,4.5,0.1,,,
2.3,-1.8,4.5,0.1,,,
2.3,-1.7,4.5,0.2,,,
2.3,-1.8,4.5,0.2,,,
2.3,-1.8,4.4,0.2,,,
2.3,-1.6,4.5,0.1,,,
2.3,-1.7,4.4,0.2,,,
2.3,-1.6,4.4,0.1,,,
2.3,-1.7,4.4,0.1,,,
2.3,-1.8,4.4,0.2,,,
2.3,-1.9,4.4,0.1,,,
2.3,-1.7,4.5,0.1,,,
2.3,-1.6,4.5,0.2,,,
2.3,-1.6,4.4,0.2,,,
2.3,-1.7,4.4,0.3,,,
2.3,-1.6,4.9,0.6,,,
2.3,-1.6,4.9,0.7,,,
2.3,-1.6,4.8,0.6,,,
2.3,-1.5,4.9,0.6,,,
2.4,-1.4,4.8,0.5,,,
2.3,-1.3,4.8,0.2,,,
2.4,-1.2,4.9,0.2,,,
2.4,-1.2,4.9,-0.1,,,
2.4,-1.1,4.9,-0.1,,,
2.4,-1.3,4.9,-0.1,,,
2.4,-1.7,4.9,0.2,,,
2.4,-1.4,4.9,0.5,,,
2.4,-1.2,4.9,0,,,
2.4,-1.4,4.9,0.1,,,
2.4,-1.6,4.9,0.4,,,
2.4,-1.2,4.9,0.9,,,
2.5,-0.7,4.9,1.4,,,
2.5,-0.2,4.9,2,,,
2.5,0.5,5,2.6,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,  
